Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Прохор Беляков Викторович, Дата Рождения: 1988-08-26, Место рождения Пинск, Номер паспорта: 2605030
Имя: Родион Тихонов Юхимович, Дата Рождения: 1980-01-12, Место рождения Риддер, Номер паспорта: 2402014
Имя: Ленар Ерёменко Васильевич, Дата Рождения: 1997-11-12, Место рождения Петропавловск, Номер паспорта: 6402031
Имя: Ленар Брагин Платонович, Дата Рождения: 1995-08-08, Место рождения Мосолово, Номер паспорта: 4702003
Имя: Корнелий Кошелев Брониславович, Дата Рождения: 1978-05-18, Место рождения Пенза, Номер паспорта: 6402031
Имя: Михаил Абрамов Брониславович, Дата Рождения: 1980-01-12, Место рождения Уфа, Номер паспорта: 1401067
Имя: Милан Тимошенко Платонович, Дата Рождения: 1978-05-18, Место рождения Витебск, Номер паспорта: 5606049
Имя: Ефрем Игнатов Леонидович, Дата Рождения: 1989-01-02, Место рождения Уссурийск, Номер паспорта: 7008041
Имя: Родион Легойда Петрович, Дата Рождения: 1996-01-24, Место рождения Подольск, Номер паспорта: 2811056
Имя: Жигер Петров Дмитриевич, Дата Рождения: 1979-10-22, Место рождения Оренбург, Номер паспорта: 5902028
Имя: Тимур Панфилов Юхимович, Дата Рождения: 1996-11-13, Место рождения Славгород, Номер паспорта: 8504047
Имя: Филипп Кузнецов Михайлович, Дата Рождения: 1996-11-13, Место рождения Тольятти, Номер паспорта: 3404067
Имя: Герасим Лаврентьев Михайлович, Дата Рождения: 1984-10-29, Место рождения Ливны, Номер паспорта: 1204011
Имя: Болеслав Лановой Петрович, Дата Рождения: 1995-06-06, Место рождения Советская Гавань, Номер паспорта: 5902028
Имя: Жигер Потапов Романович, Дата Рождения: 1991-02-08, Место рождения Саранск, Номер паспорта: 4401058
Имя: Никита Дроздов Сергеевич, Дата Рождения: 1995-05-13, Место рождения Джезказган, Номер паспорта: 1204011
Имя: Харитон Козлов Анатолиевич, Дата Рождения: 1985-12-21, Место рождения Малая Вишера, Номер паспорта: 4408066
Имя: Игнат Андреев Петрович, Дата Рождения: 1975-01-10, Место рождения Орша, Номер паспорта: 8505054
Имя: Иннокентий Яковенко Артёмович, Дата Рождения: 1995-06-17, Место рождения Воложин, Номер паспорта: 8505054
Имя: Иннокентий Виноградов Васильевич, Дата Рождения: 1989-01-02, Место рождения Набережные Челны, Номер паспорта: 8504047
Имя: Юлиан Соловьёв Богданович, Дата Рождения: 1989-12-08, Место рождения Островной, Номер паспорта: 0600056
Имя: Николай Семёнов Львович, Дата Рождения: 1985-12-21, Место рождения Джамбул, Номер паспорта: 5900029
Имя: Милан Толочко Платонович, Дата Рождения: 1983-06-04, Место рождения Надым, Номер паспорта: 0703035
Имя: Станислав Виноградов Петрович, Дата Рождения: 1995-03-03, Место рождения Лазоревское, Номер паспорта: 3404067
Имя: Максим Ерёменко Сергеевич, Дата Рождения: 1995-03-03, Место рождения Тихорецк, Номер паспорта: 5606049
Имя: Трофим Лихачёв Евгеньевич, Дата Рождения: 1991-10-09, Место рождения Мурманск, Номер паспорта: 8505054
Имя: Леонид Мухин Ярославович, Дата Рождения: 1981-06-04, Место рождения Чайковский, Номер паспорта: 9508060
Имя: Август Лаврентьев Сергеевич, Дата Рождения: 1983-06-13, Место рождения Озёрск, Номер паспорта: 1506060
Имя: Зуфар Потапов Михайлович, Дата Рождения: 1997-09-17, Место рождения Рыбинск, Номер паспорта: 9105045
Имя: Дан Жуков Ярославович, Дата Рождения: 1979-06-21, Место рождения Пенза, Номер паспорта: 6801038
Имя: Устин Горбунов Иванович, Дата Рождения: 1986-12-19, Место рождения Ставрополь, Номер паспорта: 2811056
Имя: Вадим Нестеров Андреевич, Дата Рождения: 1984-10-29, Место рождения Петропавловск, Номер паспорта: 3307009
Имя: Филипп Уваров Дмитриевич, Дата Рождения: 1981-06-04, Место рождения Лесосибирск, Номер паспорта: 3307009
Имя: Шарль Тихонов Артёмович, Дата Рождения: 1987-12-11, Место рождения Копыль, Номер паспорта: 2105065
Имя: Родион Гаврилов Артёмович, Дата Рождения: 1984-10-29, Место рождения Лиски, Номер паспорта: 4309066
Имя: Спартак Романов Вадимович, Дата Рождения: 1983-06-04, Место рождения Людиново, Номер паспорта: 2105065
Имя: Станислав Толочко Анатолиевич, Дата Рождения: 1978-05-26, Место рождения Мценск, Номер паспорта: 2402014
Имя: Чеслав Кошелев Львович, Дата Рождения: 1976-12-03, Место рождения Шемордан, Номер паспорта: 1401067
Имя: Стефан Горшков Владимирович, Дата Рождения: 1975-10-17, Место рождения Салават, Номер паспорта: 5907067
Имя: Цицерон Карпов Петрович, Дата Рождения: 1981-01-08, Место рождения Мончегорск, Номер паспорта: 1204011
Имя: Сергей Гребневский Львович, Дата Рождения: 1996-11-13, Место рождения Пангоды, Номер паспорта: 2402014
Имя: Тимофей Дмитриев Эдуардович, Дата Рождения: 1989-08-31, Место рождения Ханты-Мансийск, Номер паспорта: 3307009
Имя: Чеслав Сысоев Анатолиевич, Дата Рождения: 1982-12-22, Место рождения Углич, Номер паспорта: 5900029
Имя: Харитон Лаврентьев Михайлович, Дата Рождения: 1980-05-01, Место рождения Покачи, Номер паспорта: 6801038
Имя: Спартак Игнатов Иванович, Дата Рождения: 1997-12-30, Место рождения Уни, Номер паспорта: 9005020
Имя: Вениамин Яворивский Алексеевич, Дата Рождения: 1995-05-13, Место рождения Павлодар, Номер паспорта: 7008041
Имя: Максим Жуков Леонидович, Дата Рождения: 1978-05-18, Место рождения Суворов, Номер паспорта: 8505054
Имя: Матвей Легойда Борисович, Дата Рождения: 1989-10-04, Место рождения Шатура, Номер паспорта: 1204011
Имя: Харитон Лапин Богданович, Дата Рождения: 1977-02-02, Место рождения Лесосибирск, Номер паспорта: 2010011
Имя: Прохор Кузнецов Платонович, Дата Рождения: 1984-08-14, Место рождения Черкесск, Номер паспорта: 8505054
Имя: Чеслав Моисеев Артёмович, Дата Рождения: 1996-07-10, Место рождения Тула, Номер паспорта: 9311044
Имя: Святослав Виноградов Александрович, Дата Рождения: 1989-08-31, Место рождения Старый Оскол, Номер паспорта: 2402014
Имя: Пётр Беляев Валериевич, Дата Рождения: 1983-06-13, Место рождения Сочи, Номер паспорта: 4401058
Имя: Йоган Семёнов Виталиевич, Дата Рождения: 1976-09-11, Место рождения Прокопьевск, Номер паспорта: 2105065
Имя: Милан Субботин Эдуардович, Дата Рождения: 1995-03-03, Место рождения Санкт-Петербург, Номер паспорта: 4401058
Имя: Харитон Козлов Михайлович, Дата Рождения: 1997-12-30, Место рождения Зыряновск, Номер паспорта: 3404067
Имя: Роман Горшков Михайлович, Дата Рождения: 1984-10-29, Место рождения Миасс, Номер паспорта: 4305015
Имя: Святослав Карпов Евгеньевич, Дата Рождения: 1981-01-08, Место рождения Санкт-Петербург, Номер паспорта: 3607053
Имя: Болеслав Горбунов Леонидович, Дата Рождения: 1993-05-05, Место рождения Чусовой, Номер паспорта: 8505054
Имя: Оскар Мирный Борисович, Дата Рождения: 1978-05-18, Место рождения Оренбург, Номер паспорта: 4309066
Имя: Харитон Кузнецов Анатолиевич, Дата Рождения: 1997-11-12, Место рождения Мосолово, Номер паспорта: 9105045
Имя: Филипп Фокин Борисович, Дата Рождения: 1980-05-01, Место рождения Гомель, Номер паспорта: 0600056
Имя: Цицерон Симоненко Сергеевич, Дата Рождения: 1987-07-23, Место рождения Усинск, Номер паспорта: 7008041
Имя: Руслан Галкин Романович, Дата Рождения: 1988-08-26, Место рождения Людиново, Номер паспорта: 0909067
Имя: Лукьян Волков Данилович, Дата Рождения: 1981-02-03, Место рождения Павлодар, Номер паспорта: 7008041
Имя: Марк Гаврилов Михайлович, Дата Рождения: 1995-06-17, Место рождения Максатиха, Номер паспорта: 1506060
Имя: Никита Саксаганский Дмитриевич, Дата Рождения: 1986-07-29, Место рождения Очёр, Номер паспорта: 9508060
Имя: Остап Яворивский Виталиевич, Дата Рождения: 1978-05-18, Место рождения Лазоревское, Номер паспорта: 8504047
Имя: Юлиан Легойда Борисович, Дата Рождения: 1990-03-13, Место рождения Тихвин, Номер паспорта: 4408066
Имя: Феликс Гаврилов Борисович, Дата Рождения: 1986-12-24, Место рождения Джетыгара, Номер паспорта: 2811056
Имя: Родион Дмитриев Сергеевич, Дата Рождения: 1982-07-24, Место рождения Приозерск, Номер паспорта: 2105065
Имя: Родион Пасичник Романович, Дата Рождения: 1991-07-20, Место рождения Сургут, Номер паспорта: 3404067
Имя: Глеб Семёнов Борисович, Дата Рождения: 1982-07-24, Место рождения Покачи, Номер паспорта: 0600056
Имя: Феликс Яковенко Брониславович, Дата Рождения: 1986-12-24, Место рождения Рубцовск, Номер паспорта: 2811056
Имя: Ленар Новиков Эдуардович, Дата Рождения: 1981-06-04, Место рождения Караганда, Номер паспорта: 9005020
Имя: Родион Коровяк Брониславович, Дата Рождения: 1985-12-20, Место рождения Майкоп, Номер паспорта: 3307009
Имя: Феликс Котовский Платонович, Дата Рождения: 1980-11-11, Место рождения Советская Гавань, Номер паспорта: 5900029
Имя: Цицерон Пилипейко Анатолиевич, Дата Рождения: 1995-03-03, Место рождения Чайковский, Номер паспорта: 2811056
Имя: Игнатий Зиновьев Борисович, Дата Рождения: 1975-10-17, Место рождения Сургут, Номер паспорта: 0909067
Имя: Назар Забужко Михайлович, Дата Рождения: 1986-12-24, Место рождения Ужур, Номер паспорта: 5606049
Имя: Вадим Лановой Алексеевич, Дата Рождения: 1992-01-20, Место рождения Усть-Илимск, Номер паспорта: 2402014
Имя: Роман Повалий Брониславович, Дата Рождения: 1983-06-13, Место рождения Чита, Номер паспорта: 5606049
Имя: Корнелий Таранец Петрович, Дата Рождения: 1988-09-26, Место рождения Тында, Номер паспорта: 4408066
Имя: Герасим Симоненко Брониславович, Дата Рождения: 1988-09-26, Место рождения Междуреченск, Номер паспорта: 1506060
Имя: Цефас Рымар Алексеевич, Дата Рождения: 1986-07-29, Место рождения Самара, Номер паспорта: 9311044
Имя: Игнат Коровяк Львович, Дата Рождения: 1982-04-05, Место рождения Омск, Номер паспорта: 2105065
Имя: Святослав Гребневский Максимович, Дата Рождения: 1977-02-02, Место рождения Шарыпово, Номер паспорта: 2105065
Имя: Спартак Самойлов Ярославович, Дата Рождения: 1991-10-09, Место рождения Салават, Номер паспорта: 3307009
Имя: Юлиан Соколов Юхимович, Дата Рождения: 1978-05-18, Место рождения Мичуринск, Номер паспорта: 4401058
Имя: Роман Виноградов Владимирович, Дата Рождения: 1987-07-23, Место рождения Свислочь, Номер паспорта: 8505054
Имя: Гавриил Смирнов Сергеевич, Дата Рождения: 1978-05-26, Место рождения Ливны, Номер паспорта: 3307009
Имя: Юлий Моисеенко Романович, Дата Рождения: 1997-11-12, Место рождения Петропавловск, Номер паспорта: 6801038
Имя: Цицерон Толочко Брониславович, Дата Рождения: 1981-02-03, Место рождения Родники, Номер паспорта: 0703035
Имя: Иосиф Горшков Юхимович, Дата Рождения: 1980-06-14, Место рождения Аркалык, Номер паспорта: 4408066
Имя: Устин Тимошенко Борисович, Дата Рождения: 1978-05-18, Место рождения Назрань, Номер паспорта: 4604015
Имя: Август Моисеенко Владимирович, Дата Рождения: 1996-07-10, Место рождения Мценск, Номер паспорта: 4305015
Имя: Святослав Трублаевский Евгеньевич, Дата Рождения: 1996-07-10, Место рождения Шарыпово, Номер паспорта: 4203049
Имя: Михаил Повалий Петрович, Дата Рождения: 1989-08-31, Место рождения Тольятти, Номер паспорта: 9105045
Имя: Денис Уваров Евгеньевич, Дата Рождения: 1982-07-24, Место рождения Набережные Челны, Номер паспорта: 2605030
Имя: Вениамин Абрамов Эдуардович, Дата Рождения: 1980-05-01, Место рождения Байконур, Номер паспорта: 3607053
Имя: Станислав Галкин Анатолиевич, Дата Рождения: 1978-05-18, Место рождения Тотьма, Номер паспорта: 4702003
Имя: Устин Пилипейко Андреевич, Дата Рождения: 1989-08-31, Место рождения Самара, Номер паспорта: 0600056
Имя: Пётр Буров Артёмович, Дата Рождения: 1997-09-17, Место рождения Снежинск, Номер паспорта: 2010011
Имя: Михаил Королёв Романович, Дата Рождения: 1992-01-20, Место рождения Холмск, Номер паспорта: 5900029
Имя: Август Андреев Борисович, Дата Рождения: 1981-06-04, Место рождения Ржев, Номер паспорта: 4604015
Имя: Станислав Виноградов Леонидович, Дата Рождения: 1996-07-10, Место рождения Москва, Номер паспорта: 8505054
Имя: Лука Мирный Артёмович, Дата Рождения: 1992-03-07, Место рождения Тбилисская, Номер паспорта: 1204011
Имя: Цицерон Попов Брониславович, Дата Рождения: 1978-05-26, Место рождения Джетыгара, Номер паспорта: 9508060
Имя: Иннокентий Дроздов Юхимович, Дата Рождения: 1981-01-30, Место рождения Ликино-Дулёво, Номер паспорта: 1506060
Имя: Родион Красинец Данилович, Дата Рождения: 1987-12-11, Место рождения Назарово, Номер паспорта: 3404067
Имя: Лукьян Горшков Александрович, Дата Рождения: 1992-03-07, Место рождения Кустанай, Номер паспорта: 9005020
Имя: Болеслав Горобчук Григорьевич, Дата Рождения: 1976-09-11, Место рождения Степногорск, Номер паспорта: 2811056
Имя: Ждан Яворивский Брониславович, Дата Рождения: 1995-03-03, Место рождения Салехард, Номер паспорта: 3404067
Имя: Болеслав Мухин Юхимович, Дата Рождения: 1981-01-30, Место рождения Ростов-на-Дону, Номер паспорта: 4309066
Имя: Георгий Горшков Алексеевич, Дата Рождения: 1994-03-18, Место рождения Черняховск, Номер паспорта: 1204011
Имя: Вадим Лихачёв Юхимович, Дата Рождения: 1991-10-09, Место рождения Аркалык, Номер паспорта: 2811056
Имя: Святослав Панфилов Владимирович, Дата Рождения: 1982-12-22, Место рождения Лангепас, Номер паспорта: 4203049
Имя: Зуфар Саксаганский Виталиевич, Дата Рождения: 1996-11-13, Место рождения Ливны, Номер паспорта: 5606049
Имя: Геннадий Саксаганский Васильевич, Дата Рождения: 1976-09-11, Место рождения Шадринск, Номер паспорта: 3307009
Имя: Феликс Трясило Брониславович, Дата Рождения: 1982-04-05, Место рождения Кустанай, Номер паспорта: 0600056
Имя: Шерлок Андреев Евгеньевич, Дата Рождения: 1985-12-20, Место рождения Магадан, Номер паспорта: 0909067
Имя: Марк Соловьёв Евгеньевич, Дата Рождения: 1984-08-14, Место рождения Сызрань, Номер паспорта: 0600056
Имя: Иннокентий Жуков Александрович, Дата Рождения: 1997-09-17, Место рождения Минусинск, Номер паспорта: 0909067
Имя: Иосиф Коровяк Виталиевич, Дата Рождения: 1996-05-30, Место рождения Ликино-Дулёво, Номер паспорта: 1401067
Имя: Трофим Пасичник Анатолиевич, Дата Рождения: 1995-05-13, Место рождения Чайковский, Номер паспорта: 2010011
Имя: Оскар Таранец Петрович, Дата Рождения: 1977-10-25, Место рождения Свислочь, Номер паспорта: 2605030
Имя: Лука Саксаганский Петрович, Дата Рождения: 1981-02-03, Место рождения Сыктывкар, Номер паспорта: 5902028
Имя: Иннокентий Меркушев Юхимович, Дата Рождения: 1988-12-30, Место рождения Назарово, Номер паспорта: 2605030
Имя: Болеслав Соколов Юхимович, Дата Рождения: 1986-12-19, Место рождения Междуреченск, Номер паспорта: 0909067
Имя: Станислав Попов Валериевич, Дата Рождения: 1982-12-22, Место рождения Зыряновск, Номер паспорта: 5902028
Имя: Родион Костин Артёмович, Дата Рождения: 1984-10-29, Место рождения Рыбинск, Номер паспорта: 3307009
Имя: Трофим Уваров Брониславович, Дата Рождения: 1982-07-24, Место рождения Степногорск, Номер паспорта: 4203049
Имя: Болеслав Кузнецов Платонович, Дата Рождения: 1980-03-01, Место рождения Малая Вишера, Номер паспорта: 6801038
Имя: Трофим Котовский Юхимович, Дата Рождения: 1993-05-05, Место рождения Озёрск, Номер паспорта: 5606049
Имя: Иосиф Нестеров Артёмович, Дата Рождения: 1992-03-07, Место рождения Островной, Номер паспорта: 7008041
Имя: Яромир Горобчук Фёдорович, Дата Рождения: 1982-12-22, Место рождения Балхаш, Номер паспорта: 9311044
Имя: Геннадий Моисеев Петрович, Дата Рождения: 1988-08-26, Место рождения Тюмень, Номер паспорта: 5900029
Имя: Пётр Горшков Михайлович, Дата Рождения: 1995-06-06, Место рождения Назарово, Номер паспорта: 1506060
Имя: Марк Саксаганский Дмитриевич, Дата Рождения: 1989-12-08, Место рождения Петропавловск, Номер паспорта: 9105045
Имя: Устин Ерёменко Дмитриевич, Дата Рождения: 1986-07-29, Место рождения Островной, Номер паспорта: 2605030
Имя: Ленар Сысоев Борисович, Дата Рождения: 1995-08-08, Место рождения Сарапул, Номер паспорта: 7008041
Имя: Святослав Белов Васильевич, Дата Рождения: 1989-10-04, Место рождения Усть-Илимск, Номер паспорта: 4309066
Имя: Август Беляков Андреевич, Дата Рождения: 1986-12-24, Место рождения Нальчик, Номер паспорта: 2811056
Имя: Герасим Меркушев Михайлович, Дата Рождения: 1988-09-26, Место рождения Степногорск, Номер паспорта: 3607053
Имя: Ефрем Хижняк Романович, Дата Рождения: 1991-02-08, Место рождения Талдом, Номер паспорта: 8505054
Имя: Спартак Толочко Данилович, Дата Рождения: 1976-09-11, Место рождения Мосолово, Номер паспорта: 5900029
Имя: Пётр Савельев Анатолиевич, Дата Рождения: 1975-01-10, Место рождения Мончегорск, Номер паспорта: 4203049
Имя: Алексей Соколов Романович, Дата Рождения: 1990-11-10, Место рождения Стрежевой, Номер паспорта: 2605030
Имя: Глеб Самойлов Ярославович, Дата Рождения: 1997-12-30, Место рождения Орехово-Зуево, Номер паспорта: 9105045
Имя: Трофим Беляков Борисович, Дата Рождения: 1985-12-20, Место рождения Лазоревское, Номер паспорта: 2402014
Имя: Устин Лихачёв Борисович, Дата Рождения: 1987-07-23, Место рождения Минск, Номер паспорта: 5907067
Имя: Иннокентий Карпов Леонидович, Дата Рождения: 1985-12-20, Место рождения Междуреченск, Номер паспорта: 2811056
Имя: Роман Меркушев Михайлович, Дата Рождения: 1977-02-02, Место рождения Чайковский, Номер паспорта: 4702003
Имя: Устин Гришин Александрович, Дата Рождения: 1990-11-10, Место рождения Мурманск, Номер паспорта: 1506060
Имя: Милан Нестеров Данилович, Дата Рождения: 1990-03-13, Место рождения Сатка, Номер паспорта: 6801038
Имя: Харитон Савельев Борисович, Дата Рождения: 1991-10-09, Место рождения Алма-Ата, Номер паспорта: 9311044
Имя: Эдуард Королёв Артёмович, Дата Рождения: 1988-08-26, Место рождения Сухиничи, Номер паспорта: 1506060
Имя: Оскар Мухин Евгеньевич, Дата Рождения: 1982-04-24, Место рождения Лянтор, Номер паспорта: 9105045
Имя: Август Рымар Сергеевич, Дата Рождения: 1978-05-26, Место рождения Мичуринск, Номер паспорта: 3404067
Имя: Ленар Лаврентьев Александрович, Дата Рождения: 1982-04-24, Место рождения Актюбинск, Номер паспорта: 9005020
Имя: Юлиан Савельев Платонович, Дата Рождения: 1991-02-08, Место рождения Таганрог, Номер паспорта: 8505054
Имя: Гавриил Тимошенко Иванович, Дата Рождения: 1989-10-04, Место рождения Брагин, Номер паспорта: 1401067
Имя: Родион Гребневский Платонович, Дата Рождения: 1983-06-04, Место рождения Соликамск, Номер паспорта: 4408066
Имя: Вениамин Лапин Ярославович, Дата Рождения: 1990-03-13, Место рождения Сухиничи, Номер паспорта: 0600056
Имя: Пётр Брагин Анатолиевич, Дата Рождения: 1995-06-06, Место рождения Мстиславль, Номер паспорта: 5907067
Имя: Болеслав Субботин Романович, Дата Рождения: 1998-08-31, Место рождения Гомель, Номер паспорта: 9311044
Имя: Болеслав Горшков Евгеньевич, Дата Рождения: 1979-10-22, Место рождения Усть-Илимск, Номер паспорта: 2811056
Имя: Герасим Гришин Дмитриевич, Дата Рождения: 1996-11-13, Место рождения Шадринск, Номер паспорта: 4408066
Имя: Максим Лапин Львович, Дата Рождения: 1998-08-31, Место рождения Саратов, Номер паспорта: 1204011
Имя: Жерар Горшков Владимирович, Дата Рождения: 1979-06-21, Место рождения Темрюк, Номер паспорта: 3307009
Имя: Харитон Борисов Анатолиевич, Дата Рождения: 1996-07-10, Место рождения Усть-Мая, Номер паспорта: 5902028
Имя: Игнатий Потапов Петрович, Дата Рождения: 1989-12-08, Место рождения Тихорецк, Номер паспорта: 0600056
Имя: Леонард Кириленко Петрович, Дата Рождения: 1982-07-24, Место рождения Пятигорск, Номер паспорта: 5900029
Имя: Святослав Волков Юхимович, Дата Рождения: 1992-03-07, Место рождения Нальчик, Номер паспорта: 2010011
Имя: Корнелий Толочко Валериевич, Дата Рождения: 1982-12-22, Место рождения Магнитогорск, Номер паспорта: 9508060
Имя: Денис Новиков Ярославович, Дата Рождения: 1989-08-31, Место рождения Шемордан, Номер паспорта: 4408066
Имя: Ефрем Меркушев Андреевич, Дата Рождения: 1991-02-08, Место рождения Череповец, Номер паспорта: 4305015
Имя: Харитон Зиновьев Дмитриевич, Дата Рождения: 1993-06-01, Место рождения Октябрьский, Номер паспорта: 5606049
Имя: Жерар Саксаганский Андреевич, Дата Рождения: 1990-03-13, Место рождения Рязань, Номер паспорта: 4203049
Имя: Цицерон Андреев Викторович, Дата Рождения: 1984-02-21, Место рождения Мозырь, Номер паспорта: 5907067
Имя: Харитон Карпенко-Карый Борисович, Дата Рождения: 1989-10-04, Место рождения Сметаничи, Номер паспорта: 4401058
Имя: Прохор Моисеенко Васильевич, Дата Рождения: 1982-04-24, Место рождения Приозерск, Номер паспорта: 1204011
Имя: Сергей Коровяк Платонович, Дата Рождения: 1998-03-26, Место рождения Радужный, Номер паспорта: 7008041
Имя: Денис Королёв Сергеевич, Дата Рождения: 1998-08-31, Место рождения Урай, Номер паспорта: 4305015
Имя: Иосиф Рымар Вадимович, Дата Рождения: 1989-08-25, Место рождения Актюбинск, Номер паспорта: 2605030
Имя: Денис Жуков Брониславович, Дата Рождения: 1977-02-02, Место рождения Островной, Номер паспорта: 4309066
Имя: Филипп Карпов Платонович, Дата Рождения: 1998-09-21, Место рождения Шадринск, Номер паспорта: 1401067
Имя: Ефрем Мухин Артёмович, Дата Рождения: 1989-01-02, Место рождения Санкт-Петербург, Номер паспорта: 6402031
Имя: Корнелий Коровяк Данилович, Дата Рождения: 1989-01-02, Место рождения Сочи, Номер паспорта: 9311044
Имя: Лукьян Панфилов Романович, Дата Рождения: 1989-10-04, Место рождения Воложин, Номер паспорта: 4203049
Имя: Дан Беляков Леонидович, Дата Рождения: 1991-12-19, Место рождения Мичуринск, Номер паспорта: 0909067
Имя: Харитон Лановой Борисович, Дата Рождения: 1996-11-13, Место рождения Ликино-Дулёво, Номер паспорта: 7008041
Имя: Роман Максимов Романович, Дата Рождения: 1996-05-30, Место рождения Махачкала, Номер паспорта: 3404067
Имя: Денис Горбачёв Эдуардович, Дата Рождения: 1987-07-23, Место рождения Сызрань, Номер паспорта: 2811056
Имя: Цицерон Лапин Львович, Дата Рождения: 1983-06-04, Место рождения Лисаковск, Номер паспорта: 0909067
Имя: Пётр Кириленко Валериевич, Дата Рождения: 1979-10-22, Место рождения Назарово, Номер паспорта: 4401058
Имя: Феликс Забужко Иванович, Дата Рождения: 1996-01-24, Место рождения Таганрог, Номер паспорта: 6801038
Имя: Святослав Волков Михайлович, Дата Рождения: 1997-06-04, Место рождения Саров, Номер паспорта: 6310002
Имя: Динар Потапов Петрович, Дата Рождения: 1983-05-28, Место рождения Челябинск, Номер паспорта: 4604015
Имя: Марк Трублаевский Сергеевич, Дата Рождения: 1983-06-13, Место рождения Орша, Номер паспорта: 4408066
Имя: Устин Пасичник Данилович, Дата Рождения: 1987-12-11, Место рождения Уни, Номер паспорта: 6402031
Имя: Жигер Фокин Петрович, Дата Рождения: 1985-06-08, Место рождения Орехово-Зуево, Номер паспорта: 9311044
Имя: Алексей Тихонов Брониславович, Дата Рождения: 1988-12-30, Место рождения Липецк, Номер паспорта: 4305015
Имя: Харитон Рымар Эдуардович, Дата Рождения: 1995-06-17, Место рождения Миасс, Номер паспорта: 2811056
Имя: Никита Трублаевский Анатолиевич, Дата Рождения: 1979-10-22, Место рождения Урай, Номер паспорта: 2605030
Имя: Леонид Лихачёв Иванович, Дата Рождения: 1988-12-30, Место рождения Полоцк, Номер паспорта: 2010011
Имя: Святослав Козлов Петрович, Дата Рождения: 1982-07-24, Место рождения Ухта, Номер паспорта: 5907067
Имя: Игнатий Денисов Платонович, Дата Рождения: 1997-09-17, Место рождения Туринск, Номер паспорта: 0600056
Имя: Валентин Романов Петрович, Дата Рождения: 1998-09-21, Место рождения Сургут, Номер паспорта: 4305015
Имя: Шерлок Горшков Михайлович, Дата Рождения: 1978-05-26, Место рождения Сызрань, Номер паспорта: 0703035
Имя: Юлиан Симоненко Васильевич, Дата Рождения: 1985-12-21, Место рождения Махачкала, Номер паспорта: 5902028
Имя: Эдуард Горшков Леонидович, Дата Рождения: 1983-06-13, Место рождения Махачкала, Номер паспорта: 5900029
Имя: Вадим Соколов Анатолиевич, Дата Рождения: 1981-01-30, Место рождения Аркалык, Номер паспорта: 6310002
Имя: Жигер Повалий Викторович, Дата Рождения: 1995-06-06, Место рождения Туринск, Номер паспорта: 1506060
Имя: Зуфар Кириленко Богданович, Дата Рождения: 1995-03-03, Место рождения Суворов, Номер паспорта: 2605030
Имя: Эдуард Семёнов Петрович, Дата Рождения: 1986-12-19, Место рождения Гродно, Номер паспорта: 9005020
Имя: Сергей Зиновьев Фёдорович, Дата Рождения: 1991-07-20, Место рождения Орск, Номер паспорта: 2105065
Имя: Вадим Силин Сергеевич, Дата Рождения: 1998-08-31, Место рождения Ликино-Дулёво, Номер паспорта: 4309066
Имя: Никита Горобчук Владимирович, Дата Рождения: 1982-07-24, Место рождения Салехард, Номер паспорта: 9005020
Имя: Игнат Блинов Сергеевич, Дата Рождения: 1991-02-08, Место рождения Ужур, Номер паспорта: 3404067
Имя: Болеслав Новиков Васильевич, Дата Рождения: 1989-12-08, Место рождения Пермь, Номер паспорта: 6801038
Имя: Гавриил Андреев Юхимович, Дата Рождения: 1978-05-18, Место рождения Тотьма, Номер паспорта: 9311044
Имя: Николай Зиновьев Максимович, Дата Рождения: 1994-03-18, Место рождения Балхаш, Номер паспорта: 7008041
Имя: Филипп Буров Дмитриевич, Дата Рождения: 1996-07-10, Место рождения Семипалатинск, Номер паспорта: 3607053
Имя: Иннокентий Горбачёв Романович, Дата Рождения: 1984-10-29, Место рождения Семипалатинск, Номер паспорта: 6801038
Имя: Остап Уваров Борисович, Дата Рождения: 1989-10-04, Место рождения Луга, Номер паспорта: 1506060
Имя: Чеслав Легойда Романович, Дата Рождения: 1978-05-18, Место рождения Орёл, Номер паспорта: 4305015
Имя: Зуфар Горшков Васильевич, Дата Рождения: 1979-10-22, Место рождения Шахты, Номер паспорта: 0909067
Имя: Иннокентий Кузнецов Михайлович, Дата Рождения: 1993-06-01, Место рождения Брест, Номер паспорта: 8505054
Имя: Чеслав Третьяков Борисович, Дата Рождения: 1987-12-11, Место рождения Тбилисская, Номер паспорта: 6801038
Имя: Болеслав Тимошенко Вадимович, Дата Рождения: 1995-08-08, Место рождения Ливны, Номер паспорта: 3307009
Имя: Устин Карпенко-Карый Брониславович, Дата Рождения: 1997-11-12, Место рождения Петропавловск-Камчатский, Номер паспорта: 0600056
Имя: Эрик Кулибаба Петрович, Дата Рождения: 1989-08-31, Место рождения Ставрополь, Номер паспорта: 2811056
Имя: Михаил Семёнов Владимирович, Дата Рождения: 1986-12-19, Место рождения Саяногорск, Номер паспорта: 8505054
Имя: Родион Панфилов Сергеевич, Дата Рождения: 1997-12-30, Место рождения Усолье-Сибирское, Номер паспорта: 4401058
Имя: Харитон Кошелев Романович, Дата Рождения: 1981-01-30, Место рождения Браслав, Номер паспорта: 2402014
Имя: Прохор Сысоев Иванович, Дата Рождения: 1980-05-01, Место рождения Копыль, Номер паспорта: 2010011
